Question,Answer
What is proton therapy and how is it used?,"Protons are particles that carry a positive charge. Just as x-rays (also known as photons) are used to treat both benign and malignant tumors, protons beams can be used to irradiate tumors in a similar way. There is no significant difference in the biological effects of protons versus photons (x-rays). However, protons deliver a dose of radiation in a much more confined way to the tumor tissue than photons. After they enter the body, protons release most of their energy within the tumor region and, unlike photons, deliver only a minimal dose beyond the tumor boundaries. Therefore, especially for smaller tumor sizes, the dose of radiation may conform much tighter to the tumor and there may be less damage to healthy tissue. As a result, the treating physician (a radiation oncologist) can potentially give an even greater dose to the tumor while minimizing unwanted side effects. This is especially important when treating children, because protons help reduce radiation to growing and developing tissues.
Proton therapy is being used to treat tumors in these areas of the body with encouraging early results: Lung - see the Lung Cancer page, Prostate - see the Prostate Cancer page, Brain - see the Brain Tumors page, Liver, Breast, Esophagus, Rectum, Skull base sarcomas, Pediatric brain tumors, Head and neck - see the Head and Neck Cancer page and Eye melanomas.
Protocols are being developed to explore the use of protons in other parts of the body."
What is Image-Guided Radiation Therapy and how is it used?,"Image-guided radiation therapy (IGRT) uses medical imaging to help provide precise and accurate radiation treatment.
IGRT uses a linear accelerator or cyclotron/synchrotron to produce and deliver radiation therapy. These machines may also have imaging technology to scan the tumor before or during treatment. Your doctor and radiation therapists will compare these scans to the simulation reference images and make adjustments. By adjusting your position and the radiation beams, your doctor and treatment team can more precisely deliver radiation to the tumor while avoiding healthy tissue.
IGRT may use computed tomography (CT), magnetic resonance imaging (MRI), ultrasound (US) or x-ray to scan your tumor. The procedure may place fiducial markers or electromagnetic transponders in or near the tumor. These help the treatment team identify the target area and help position the equipment. See the Fiducial Marker Placement page for more information.
IGRT treats tumors in areas that tend to move, such as the lungs, liver, pancreas, and prostate gland using fiducials, 4D gating or adaptive techniques using high soft tissue resolution imaging. It also treats tumors near critical organs and tissues. Doctors may use IGRT with intensity-modulated radiation therapy (IMRT), proton beam therapy, stereotactic radiosurgery or stereotactic body radiotherapy (SBRT). These advanced forms of high-precision radiotherapy use computers to control x-ray accelerators and deliver precise radiation doses to a tumor or specific areas within it."
Is there any special preparation needed for an IGRT?,"Women should always tell their doctor and technologist if they are pregnant or breastfeeding. See the Radiation Safety page for more information about pregnancy, breastfeeding, and imaging. Patients with loose metal in their bodies should tell the treatment team if you are to undergo MRI. Patients with pacemakers in their bodies should tell the treatment team if you are to undergo MRI or radiation treatment.
Your doctor will implant any necessary markers at least 1-2 weeks before your CT simulation. Your doctor or the radiation therapist may also mark or tattoo your skin with colored ink to help align and target the radiation equipment. Your doctor will let you know prior to treatment if they prefer you to be fasting or drink water to have full bladder. 
There is no specific preparation for IGRT other than for the specific therapy you will undergo. See the IMRT, Proton Beam Therapy, or SBRT pages for specific preparation information."
What will I feel during and after an IGRT procedure?,"Medical imaging prior to or during treatment is painless.
During treatment, you may see or hear the equipment moving. Or you may notice an odd smell (the linear accelerator produces ozone). You may even see a colored light during treatment. This is especially true for brain cancer patients.
Radiation treatment can cause side effects. These problems may result from the treatment itself or from radiation damage to healthy cells in the treatment area.
The number and severity of side effects will depend on the type of radiation, dose, and body part under treatment. Talk to your doctor and/or nurse so they can help you manage them.
Radiation can cause early and late side effects. Early side effects happen during or right after treatment. They are typically gone within weeks. Common early side effects include fatigue and skin problems. Skin in the treatment area may become sensitive, red, irritated, or swollen. Other changes include dryness, itching, peeling, and blistering.
Depending on the area under treatment, other early side effects may include: hair loss in the treatment area, mouth problems and difficulty swallowin, eating and digestion problems, diarrhea, nausea and vomiting, headaches, soreness and swelling in the treatment area, urinary and bladder changes. 
Late side effects may occur months or years following treatment. While they are often permanent, they are rare. They include: brain changes, 	spinal cord changes, lung changes, kidney changes, colon and rectal changes, infertility, joint changes, lymphedema, mouth changes, and secondary cancer.
There is a slight risk of developing cancer from radiation therapy. After treatment, your radiation oncologist will regularly check for complications and recurrent or new cancers.
IGRT allows doctors to maximize the cancer-destroying capabilities of radiation treatment. At the same time, it allows them to minimize its effect on healthy tissues and any treatment side effects."
How effective is modern radiation treatment of colorectal cancer?,"Surgery is the most effective way to treat colorectal cancer. Radiation therapy is most effective as an additional or adjuvant therapy either before or after surgery. It reduces the chance of cancer spread or recurrence.

Doctors do not normally use radiation as the only ""definitive"" treatment for colorectal cancer. They usually provide it in combination with chemotherapy to help the radiation work better. Patients may receive chemotherapy intravenously or orally."
What happens during radiation therapy of  colorectal cancer? ,"Radiation therapy uses high energy x-rays (photons) or a stream of particles. At high doses—much higher than x-ray exams use—it can destroy abnormal cells that cause cancer. It does this by damaging the cell's DNA, which eventually causes the cell to die.

Because of the importance of treating the cancer but sparing healthy tissue, you will visit the medical center before actual therapy for treatment planning and simulation. The best patient positions for radiation exposure are determined for accurate, effective therapeutic results. The doctor may mark your skin with permanent ink. They may create customized lead shields to protect healthy organs or shape the radiation fields for your situation using special blocks inside the radiation machine. CT or MRI scans may help better visualize the tumor and the sensitive normal tissues and aid in treatment planning."
"What are the possible side effects, risks, and complications of radiation therapy in colorectal cancer cancer?","Side effects that develop during treatment vary from person to person. However, some side effects are typical.

There are usually no immediate side effects from each radiation treatment. Most patients gradually develop mild fatigue over the course of therapy. This slowly goes away one to two months following treatment. Some patients develop some redness, dryness, and itching of the skin after a few weeks. Other patients develop substantial irritation.

Skin reactions usually heal completely within a few weeks of completing treatment.

Diarrhea, frequent bowel movements, or appetite loss is likely to occur at some point during the course of treatment. Generally, side effects stop gradually once treatment ceases, but bowel function may remain different from what it was before the disease started."
What kind of treatment follow-up should I expect for radiation therapy of colorectal cancer?,"Colorectal cancer can recur, or reappear, in a patient previously treated for the disease. Because patients can sometimes be cured after their tumor recurs, follow-up care is critically important.

Physical exam. Patients will undergo frequent physical exams from a few weeks to many years after treatment. This is especially true if treatment side effects do not go away or new symptoms develop. Pain, unexplained weight loss, or bleeding can occur with tumor recurrence.
Blood tests. Follow-up evaluation usually includes blood tests. An abnormal result may indicate that the colorectal cancer is back.
Colonoscopy. About one year after treatment, patients usually undergo colonoscopy to detect recurrence or development of new benign or malignant masses. If exam findings are normal, it should be repeated three years later, then every five years after that.
Imaging. Also during follow-up exams, a patient may undergo computed tomography (CT) or magnetic resonance imaging (MRI). CT and/or MRI can help determine treatment response and detect disease spread. Occasionally, your doctor may use positron emission tomography (PET) to detect disease spread. However, they will normally only use PET when other symptoms are present.."
What happens during radiation therapy of esophageal cancer? ,"Prior to beginning radiation therapy, some patients who cannot swallow may have a feeding tube inserted into their esophagus. This tube, called an esophageal stent, allows the esophagus to remain open.

The treatment process for external beam therapy begins with simulation and treatment planning.

The goal of simulation is to determine the patient's daily treatment position and to make devices that will help the patient maintain that position. Body molds, head masks, or other devices may be constructed to help the patient stay still during treatment and temporary skin marks or tattoos may also be applied to help precisely position the patient for each treatment session.

For treatment planning, computed tomography (CT), position emission tomography (PET) and magnetic resonance imaging (MRI) images will be obtained to map the location of the cancer and healthy tissues nearby. Using these images and sophisticated treatment planning tools, a team of professionals including a dosimetrist, radiation physicist and radiation oncologist generate a treatment plan that will deliver the appropriate radiation dose to the tumor while minimizing exposure to surrounding normal tissues.

After the simulation and planning have been completed, the treatment can begin.

External beam therapy with high energy x-rays is often delivered from a machine called a linear accelerator. Various techniques are used to deliver EBT, including three-dimensional conformal radiation therapy (3D-CRT), intensity modulated radiation therapy (IMRT) and image-guided radiation therapy (IGRT).

3-D CRT more precisely conforms the radiation to the tumor, allowing a higher radiation dose to be safely delivered.
IMRT uses special devices called collimators to regulate the intensity of the radiation beams, allowing different areas of a tumor and nearby tissues to receive different doses of radiation.
IGRT is often used in conjunction with IMRT to deliver precise radiation doses to a malignant tumor or even specific areas within the tumor.
External beam radiation therapy can also be delivered using beams of a charged particle called a proton, which are typically generated by a machine called a cyclotron.

Before each radiation therapy session, the patient may be asked to change into a gown. The patient is then placed on the treatment couch in exactly the same position that was used for simulation using the immobilization devices. The therapist goes outside the room and turns on the linear accelerator from outside.

Patients undergo radiation therapy during a series of outpatient treatments over several weeks. The patient's diagnosis determines the total duration of treatment. Each treatment session lasts less than an hour, most of which is spent positioning the patient."
"What are the possible side effects, risks, and complications of radiation therapy in esophageal cancer?","Radiation treatment can cause side effects. These problems may result from the treatment itself or from radiation damage to healthy cells in the treatment area.
The number and severity of side effects will depend on the type of radiation, dose, and body part under treatment. Talk to your doctor and/or nurse so they can help manage them.
Radiation can cause early and late side effects. Early side effects happen during or right after treatment. They are typically gone within a few weeks. Common early side effects include fatigue and skin problems. Skin in the treatment area may become sensitive, red, irritated, or swollen. Other changes include dryness, itching, peeling, and blistering.

Depending on the area being treated, other early side effects may include:
hair loss in the treatment area, mouth problems and difficulty swallowing, eating and digestion problems, diarrhea, nausea and vomiting, headaches, soreness and swelling in the treatment area,
urinary and bladder changes,   Late side effects may occur months or years following treatment. While they are often permanent, they are rare. They include:
brain changes, spinal cord changes, lung changes, kidney changes, colon and rectal changes, infertility, joint changes, lymphedema, mouth changes, secondary cancer.
There is a slight risk of developing cancer from radiation therapy. After treatment, your radiation oncologist will regularly check for complications and recurrent or new cancers.

Individuals undergoing radiation therapy may experience early or acute side effects during the course of treatment. They may also experience chronic or late side effects months or even years after they have completed treatment. Side effects vary from individual to individual and may depend on one's general health, the area of the body undergoing treatment, the daily radiation dose, the total radiation dose given during treatment and other treatments (such as chemotherapy) they may be undergoing at the same time.

Patients undergoing external beam radiation treatment typically experience difficult and painful swallowing soon after starting treatment. This occurs as a result of the radiation killing the cells in the lining of the esophagus, which causes a reaction similar to a sunburn. It is important for patients to drink plenty of water and to meet their nutritional needs during this time. When patients cannot get adequate nutrition and hydration, a feeding tube may need to be inserted before or during radiation treatment until the patient regains the ability to swallow. Once treatment is completed, the pain usually subsides within a few weeks.

Other common side effects of radiation therapy include:
fatigue, skin changes, including dryness, itching, peeling, and blistering, diarrhea, dry mouth and other mouth problems, extreme fatigue, nausea (especially if the abdomen is treated), inflammation in the treated area, such as difficulty with swallowing, a cough or feeling short of breath as a result of radiation to the chest, pain with or difficulty swallowing, decreased blood cell counts, which can lead to increased fatigue, an increased risk of infection and bruising, loss of hair in the treatment area. Most of these side effects go away within two months after radiation therapy is finished.

Late or long-term side effects may occur six or more months after radiation therapy is completed. Whether or not a patient experiences late side effects depends on the area of the body treated with radiation therapy, other aspects of their cancer treatment and individual risk factors. Radiation therapy for esophageal cancer may cause a stricture (narrowing) in the esophagus, which may require further treatment. Other possible long-term side effects include: fibrosis (the replacement of normal tissue with scar tissue, leading to restricted movement of the affected area),
damage to the bowels, causing diarrhea and bleeding, infertility, heart or lung damage from radiation therapy to the chest, possibly leading to problems breathing and shortness of breath.
thyroid problems or irritation of the esophagus from radiation to the neck, headaches and problems with memory loss, personality changes and trouble concentrating from radiation to the head
the development of another cancer later in life, called secondary cancer, Patients should talk to their doctor before and during treatment about the side effects they can expect and ways to minimize them."
How effective is modern radiation treatment of lung cancer?,"It is extremely important to remember that “inoperable” does not mean “incurable” when it comes to lung cancer. In fact, an increasing number of patients are being treated with a non-surgical approach across all stages of this disease. Treatment effectiveness depends on the stage of disease. In early stage inoperable disease that is treated with radiotherapy alone, control of the local disease is typical. In more advanced disease, a combination of chemotherapy and radiation is delivered with curative intent. Cure rates are lower but still possible with disease spread to the lymph nodes within the chest. The medical or radiation oncologist may propose a combination of chemotherapy and radiation therapy for a patient who is otherwise well.

When cure is not a possibility, doctors recommend palliative treatment. This is the use of medications, chemotherapy, radiation therapy, or other measures to relieve symptoms of lung cancer without eliminating the tumor. The doctor will use smaller doses of radiation therapy to avoid side effects. At some point, if you and your oncologist or primary care physician agree that active treatment is no longer advisable, hospice care can provide comfort and support.

Pain relief is a very important part of treating lung cancer. Although many effective treatments are available, and there are devices for delivering medication on demand without overdosing, many cancer patients still do not receive adequate pain relief. When the needs of the patient are clearly expressed, doctors can better provide appropriate care."
What happens during radiation therapy of lung cancer? ,"Radiation therapy delivers focused high-energy x-rays (photons), gamma rays, or atomic particles. It affects cells that are rapidly dividing—such as cancer cells—much more than those that are not. Most cancers, including lung tumors, are made of cells that divide more rapidly than those in normal lung tissue. This means the tumor may be eliminated without damaging surrounding normal tissues. Radiotherapy acts by attacking the DNA within tumor cells, making it impossible for them to grow and create more cancer cells. Normal body cells may also be damaged, but they are able to repair themselves and function properly once again. The key is to give daily doses of radiation large enough to kill a high percentage of the rapidly dividing cancer cells, while minimizing damage to the more slowly dividing normal tissue cells in the same area."
"What are the possible side effects, risks, and complications of radiation therapy in lung cancer?","Overall, radiotherapy is a local treatment. Any side effects usually happen in the parts of the body where radiation passes through. Radiotherapy usually does not damage normal organs outside the path of the treatment beam.
Most patients tire easily during their course of radiation treatment. This fatigue occurs two to three weeks after treatment starts and gradually increases as treatment continues. It may become severe and seriously limit your ability to engage in normal daily activities. Typically, fatigue lessens one to two months after radiotherapy is completed. If you experience fatigue, it is important to get enough rest. However, at the same time, your doctor may suggest that you stay as active as possible.
Some patients experience hair loss on the chest included in the radiation field. Depending on how much radiation is delivered, this may be temporary or permanent.
Skin irritation is common after a few weeks of radiation therapy. The affected area may be red, dry, tender, and itchy. This reaction can become quite severe during a long course of treatment. It helps to keep the skin clean with gentle soap and warm water, to dry it well, and to avoid very hot water while bathing. Sunscreen should be used when skin in the treated area is exposed to sunlight. Do not use perfumes, cosmetics, or deodorants in the treatment area. After daily treatments, you may apply an unscented cream or lotion.
Temporary loss of appetite is a possibility.
Esophagitis or inflammation of the esophagus (the tube that carries food from the mouth to the stomach) is common if radiotherapy is directed at the lymph nodes in the central chest or if the tumor is near the esophagus. This condition can be severe. The esophagus is very sensitive to radiation, and the symptoms are worse in patients who also receive chemotherapy. Esophagitis can make it difficult to swallow, and some patients need intravenous (IV) pain medication or fluids to get through the full course of radiation treatment. Some people experience esophagitis as the sensation of a lump or discomfort before it becomes overtly painful. Some foods (such as spicy or acidic foods or bread) feel worse than others. It is important to remember that although certain foods may cause pain with swallowing, they will not cause damage. Avoid foods that cause pain until about one month after the final day of radiation. The inflammation generally plateaus toward the end of treatment and starts to resolve within two to three weeks after treatment in most patients.
An inflammation of the lungs called radiation pneumonitis may develop three to six months after radiotherapy is over. It causes coughing and shortness of breath as well as fever. In most cases, it calls for no specific treatment and gets better within two to four weeks. It can occasionally happen earlier and require steroids and/or oxygen.
Decrease in a specific type of white blood cell called lymphocytes is another side effect of radiotherapy."
What kind of treatment follow-up should I expect for radiation therapy of lung cancer?,"Once radiotherapy ends, your doctor will want to see you after four to six weeks and then every three to six months for the first two years. After this, you may see the doctor every six months for three years and then once a year. Your medical or radiation oncologist will often prescribe a computed tomography (CT) or positron emission tomography (PET) scan. This will take place about four to eight weeks after treatment ends, when the response is expected to be the greatest. These images will help to assess response and make it possible to do comparisons with earlier images. It also allows your doctor to find treatment-related complications at an early stage. Imaging can tell the difference between recurrent cancer and lung scars produced by high-dose radiation treatment. By obtaining chest imaging on a regular basis, (generally no more than two to four times per year), recurrent cancers may be discovered in time to be successfully re-treated.

In addition to x-rays, other tests such as blood cell counts and bronchoscopy may be a routine part of the follow-up exam. Your doctor may use other tests to follow up on symptoms or findings on chest imaging. If new symptoms develop in another part of the body, your doctor may test to detect any potential problem.

After treatment, the tumor may be gone (cured). Or it can regrow in an area of the original tumor (recur) or remain after treatment (residual tumor). Patients who have had one cancer may develop a second, unrelated primary lung cancer. This happens to about 3 percent of patients per year."
How effective is modern radiation treatment of pancreatic cancer?,"With modern technology and recent advances in treatment software, physicians can deliver more of the radiation dose directly to the tumor while avoiding healthy tissue nearby. Doctors use 3-D imaging techniques to visualize the area of the body being treated and surrounding tissue so that the radiation dose can be precisely targeted at the diseased cells. Both stereotactic body radiotherapy and proton therapy help minimize the radiation dose that is delivered to healthy tissue, reducing the risk of side effects and complications. The goal of treatment today is to safely provide radiation, reduce pain and extend life."
What happens during radiation therapy of pancreatic cancer? ,Radiation therapy uses high-energy x-rays (photons) or a stream of particles (protons). Radiation at high doses can destroy abnormal cells at the microscopic level. Patients will hear some electrical noise and see lights on the machine but will not feel the radiation during treatment. Radiation treatment is typically given to patients in multiple sessions over a course of weeks.
"What are the possible side effects, risks, and complications of radiation therapy in pancreatic cancer?","After multiple radiation therapy sessions, patients often become tired. While adequate rest is important, doctors usually advise patients to try to stay as active as possible. Patients may have an upset stomach, diarrhea or loose stools, nausea, vomiting and loss of appetite while being treated with radiation therapy. Sometimes patients will have skin changes or irritation in the area where the radiation beam enters the body. Patients may also experience low levels of red blood cells and/or white blood cells, increasing their risk of infection. These side effects are generally short term, lasting two to three weeks after treatment."
What kind of treatment follow-up should I expect for radiation therapy of pancreatic cancer?,"Once your pancreatic cancer treatment is complete, you and your treatment team will decide on a follow-up plan. Patients with early stage cancers and neuroendocrine tumors will typically follow up with a medical oncologist or family doctor every six months for the two years after treatment and then every year after. All pancreatic cancer patients will need to have regular blood tests. If the pancreas no longer functions properly or has been removed, pancreatic enzyme replacement therapy and insulin treatment may be required. Living with cancer can be emotionally difficult for you and your loved ones. Finding a therapist who specializes in treating cancer patients is highly recommended."
What happens during radiation therapy for breast cancer?,Radiation therapy uses high-energy x-rays (photons) or a stream of particles. When radiation is used at therapeutic doses (many times those used for x-ray imaging exams) it can destroy abnormal cells that cause cancer and other illnesses.
"What are possible side effects, risks, and complications of radiation therapy in breast cancer?","There are usually no immediate side effects from each radiation treatment given to the breast. Patients do not develop nausea or hair loss on the head from radiation therapy to the breast.

Most patients develop mild fatigue that builds up gradually over the course of therapy. This slowly goes away one to two months following the radiation therapy. Most patients develop dull aches or sharp shooting pains in the breast that may last for a few seconds or minutes. It is rare for patients to need any medication for this. The most common side effect needing attention is skin reaction. Most patients develop reddening, dryness and itching of the skin after a few weeks. Some patients develop substantial irritation.

Skin care recommendations include:

Keeping the skin clean using gentle soap and warm but not hot water
Avoiding extreme temperatures while bathing
Avoiding trauma to the skin and sun exposure (use clothing as a barrier or a sunscreen with at least SPF 30)
Avoiding shaving the treatment area with a razor blade (use an electric razor if necessary)
Avoiding use of perfumes, cosmetics, after-shave or deodorants in the treatment area (use cornstarch with or without baking soda in place of deodorants)
Using only recommended unscented creams or lotions after daily treatment
Some patients develop a sunburn-like reaction with blistering and peeling of the skin, called ""moist desquamation."" This usually occurs in the fold under the breast or in the fold between the breast and the arm, or sometimes in the area given a radiation boost. Most people with a limited area of moist desquamation can continue treatment without interruption. Sometimes, topical medications (those applied to the surface of the body) are prescribed. When treatment must be interrupted, the skin usually heals enough to allow radiation to be resumed in five to seven days. Skin reactions usually heal completely within a few weeks of completing radiotherapy.

Minor complications include:

Slight swelling of the breast during radiotherapy. This usually goes away within six to 12 months.
The skin becomes darker during the course of radiotherapy, similar to tanning from the sun. In most cases, this also fades gradually over six to 12 months.
Most women will have aches or pains from time to time in the treated breast or the muscles surrounding the breast, even years after treatment. The reason why this happens is not clear; however, these pains are harmless, although annoying. They are not usually a sign that the cancer is reappearing.
Rarely, patients may develop a rib fracture years following treatment. This occurs in less than one percent of patients treated by modern approaches. These heal slowly by themselves.
More serious complications include:

Radiation therapy given to the axillary lymph nodes can increase the risk of patients developing arm swelling (""lymphedema"") following axillary (armpit) dissection.
Radiation therapy given to the axillary lymph nodes may rarely cause numbness, tingling or even pain and loss of strength in the hand and arm years after treatment.
Some patients develop ""radiation pneumonitis,"" a lung reaction that causes a cough, shortness of breath and fevers three to nine months after completing treatment. Fortunately, it is usually mild enough that no specific treatment is needed and it goes away within two to four weeks with no long-term complications.
Radiotherapy may damage the heart. Fortunately, modern radiation techniques treat much less of the heart than treatments used in the past. Current studies have found no increased risk of serious heart disease in patients treated with modern techniques even 10 to 20 years after radiotherapy treatment was given. However, there is still some uncertainty about the risks of radiation causing heart disease for individuals who smoke or have pre-existing heart disease, or for those who receive certain chemotherapy drugs. It is likely that such risks will also be found to be very small. Fortunately, newer radiation techniques treat patients in the prone position (patient lying on their stomach, pulling the breast away from the heart) or use deep inspiration technique (taking a deep breath and pulling the chest away from the heart during radiation therapy). Both techniques may further reduce radiation related heart injury.
Women age 45 or younger at the time of treatment may have a slightly increased risk (by a few percent at most) of developing cancer of the other breast with time, compared with the risk they would have if they did not undergo radiation. There is a very small risk (perhaps one in 1,000 individuals) that cancers may develop five, 10, 20 or more years later in the skin, muscle, bone or lung directly in the area of treatment.
Patients may rarely develop a breakdown of the skin or such severe pain in the breast that surgery is needed for treatment."
What kind of treatment follow-up should I expect for radiation therapy of breast cancer?,"The major goal of follow-up is, if possible, to detect and treat recurrences in the irradiated breast or lymph nodes and new cancers developing later in either breast before they can spread to other parts of the body. The routine use of bone scans, chest x-rays, blood tests and other tests to detect the possible spread to other organs in patients without symptoms does not appear to be useful. Your physician will determine a follow-up schedule for you. This may include a physical exam every few months for the first several years after treatment and then every six to 12 months or so after that. Annual follow-up mammograms are an important part of your care. If symptoms or clinical circumstances suggest a recurrence, diagnostic tests such as blood tests, ultrasound, computed tomography (CT), magnetic resonance imaging (MRI), chest x-ray (CXR), or bone scan may be needed."
How effective is modern radiation treatment of anal cancer?,"Anal cancer is generally responsive to radiation therapy. Chemotherapy further improves upon the efficacy of radiation therapy. Recent improvements in radiation therapy also allow for improved sparing of normal tissues. Ultimately, however, the effectiveness of treatment is dependent on the stage of the cancer and your cancer's specific response to treatment."
What happens during radiation therapy for anal cancer ?,"Radiation therapy uses high energy x-rays (photons) or a stream of particles. When radiation is used at high doses—much higher than the amount used to obtain x-ray images—it can destroy abnormal cells that cause cancer. It does this by damaging the cell's DNA, which eventually causes the cell to die.

Because of the importance of treating the cancer but sparing healthy tissue, you will visit the medical center before actual therapy for treatment planning and simulation. Correct patient positions for radiation exposure are determined for accurate, effective therapeutic results. Your skin may be marked with permanent ink. Custom-made lead shields may be constructed to protect your healthy organs from the radiation, or the radiation fields may be shaped for your situation with special blocks inside the radiation machine. CT or MRI scans may be used to better represent the tumor and the sensitive normal tissues for treatment planning.

External beam therapy (EBT) with high energy x-rays is often delivered from a machine called a linear accelerator. Patients undergo EBT during a series of outpatient treatments over several weeks. The patient's diagnosis determines the total duration of treatment. Each treatment session lasts less than an hour, most of which is spent positioning the patient."
"What are possible side effects, risks, and complications of radiation therapy in anal cancer?","Side effects of radiation treatment include problems that occur as a result of the treatment itself as well as from radiation damage to healthy cells in the treatment area.

The number and severity of side effects you may experience will depend on the type of radiation and dosage you receive and the part of your body being treated. You should talk to your doctor and nurse about any side effects you experience so they can help you manage them.

Radiation therapy can cause early and late side effects. Early side effects occur during or immediately after treatment and are typically gone within a few weeks. Common early side effects of radiation therapy include tiredness or fatigue and skin problems. Skin in the treatment area may become more sensitive, red, irritated, or swollen. Other skin changes include dryness, itching, peeling and blistering.

Depending on the area being treated, other early side effects may include:
temporary anal irritation and pain, discomfort during bowel movements, fatigue, diarrhea, nausea and vomiting, in women, irritation to the vagina, including discomfort and drainage.

Late side effects, which are rare, occur months or years following treatment and are often permanent. They include:
damage to anal tissue and the formation of scar tissue, changes to the anal sphincter, risk of fractures in the pelvis or hip, damage to the blood vessels in the lining of the rectum, causing inflammation, rectal bleeding and pain, infertility, vaginal dryness and the formation of scar tissue in the vagina, abnormal swelling in the legs, called lymphedema.
There is a slight risk of developing cancer from radiation therapy. Following radiation treatment for cancer, you should be checked on a regular basis by your radiation oncologist for recurring and new cancers."
What kind of treatment follow-up should I expect for radiation therapy of anal cancer?,"After your treatment has ended, your physician will want to watch you closely for a recurrence of cancer and to monitor your treatment-related side effects. Follow-up appointments, which may be scheduled every three months for two years, may include:

a physical examination, including a rectal exam, and questions about any problems or symptoms you are experiencing
blood tests
imaging tests, such as x-rays or a computed tomography (CT) scan"
"What happens during radiation therapy for brain cancer?
","For conventional radiation therapy, you will consult with a radiation oncologist —a doctor who specializes in radiation therapy. During the first visit, the oncologist will review the history of your illness and perform a physical exam. You may consult with other members of your treatment team at this time, too.

After you and your doctor(s) decide on a course of treatment, you will begin treatment planning. During this first treatment planning phase, a radiation oncologist will simulate your radiation therapy treatment using either conventional x-rays or a CT scan. Most cases will require an MRI scan. Doctors use these exams to plan the type and direction of radiation beams they will use to treat the cancer.

You will need to lie still on the treatment table during simulation, although no radiation therapy will be given at that point. The treatment team will usually create an immobilization mask at this time to prevent head movement. Typically, treatment begins one to two weeks after your treatment planning session. Planning and verifying your treatment plan will require significant medical physics before you begin treatment.

During your actual radiation therapy treatment, you will lie on the treatment table without moving. A radiation technologist will administer the treatment prescribed by the radiation oncologist. The treatment will last only a few minutes, and you may see flashes of light or smell an odor during that time. You may also hear a noise from the treatment unit. If you undergo stereotactic radiosurgery, you may wear a rigid head frame. In this procedure, a CT or MRI scan will help the doctor pinpoint tumor location, and a computer will regulate the needed radiation dose. They doctor may take multiple images on the treatment machine to ensure everything is well aligned.

Treatment planning sessions and your first radiation therapy treatments may take up to an hour. After that, treatments will usually last a few minutes and you will be in and out of the radiation department in 30 to 45 minutes for each session. Typically, treatments are given once a day, three to five days a week, for five to seven weeks. Treatments are usually not given on weekends.

For more information about specific radiation therapy procedures and equipment, visit the following pages:"
"What are possible side effects, risks, and complications of radiation therapy in brain cancer?","The side effects of radiation therapy to the brain may not occur until two to three weeks after the start of your therapy. Many people experience hair loss, but the amount varies from person to person. Hair may grow back once therapy is finished.

Skin irritation is the second most frequently reported side effect. The skin around your ears and scalp may become dry, itchy, red, or tender. Do not try to treat this side effect on your own. Seek professionalism medical treatment as soon as it occurs. Fatigue is another possible side effect. The best way to fight fatigue is to get on a daily exercise regimen that is tolerable and sustainable, eat a healthy diet, and rely on friends and family for support. Your normal energy levels should return about six weeks after you finish your therapy. Fatigue may be the worst two to three weeks after you complete prolonged (multi-week) radiation treatment

Edema (swelling of the brain) is also a common side effect. Tell your oncologist if you have a headache or a feeling of pressure. The doctor may prescribe medications to help reduce brain swelling, prevent seizures, or control pain. If you receive chemotherapy and radiation therapy at the same time, you may experience more severe side effects. Your doctor can suggest ways to ease these symptoms.

Other possible side effects include:
hearing problems, nausea, vomiting, loss of appetite, memory or speech problems, headaches.

Radiation is a powerful weapon against cancer cells, but sometimes it kills healthy brain tissue as well. This severe side effect is called radiation necrosis. Necrosis (a late effect of high doses of radiation) can cause headaches, seizures, or even death in a small number of cases. This can occur six months to a few years after treatment. However, there is less risk of necrosis today because of newer, targeted radiation therapies and the emergence of powerful imaging, brain mapping and information technologies.

Other complications include:
neurologic deficits (this usually depends on the area of the brain being treated), cognitive problems, seizures, headaches, return of tumor growth, In children, radiation may damage the pituitary gland and other parts of the brain. This could cause learning problems or slow growth and development. Additionally, radiation during childhood increases the risk of developing tumors later in life. Researchers are studying chemotherapy as an alternative to radiation therapy in children with brain tumors."
"What kind of treatment follow-up should I expect for radiation therapy of brain cancer?

","Regular follow-up treatment is extremely important after brain tumor treatment. Besides regular physical and neurological exams and blood tests, you may need periodic MRI, MR spectroscopy, perfusion or diffusion MRI, and/or CT exams. Doctors rarely use  positron emission tomography (PET) scans in brain tumor patients. However, they may use PET to monitor disease outside of the brain (extracranial disease). Your doctor may also recommend home care, occupational or vocational therapy, pain management, physical therapy, and participation in support groups.

This follow-up care will help your doctor to:

spot any sign that the tumor is returning, monitor the health of your brain, identify and treat the side effects of chemotherapy or radiation therapy, detect the presence of other types of cancer at the earliest possible stage."
How effective is modern radiation treatment of cervical cancer?,"Modern technology and recent advances in treatment software allow doctors to deliver more of the radiation dose directly to the cervix and avoid surrounding healthy tissue. Doctors use various imaging techniques to visualize the cervix and surrounding tissue in three dimensions. This allows the radiation dose to be tailored more precisely to the individual patient's unique needs. Improved brachytherapy devices help minimize the radiation dose that will be delivered near the bladder and rectum. This reduces the risk of side effects and complications. The goal of treatment today is to safely provide a higher dose of radiation, to improve the chances of a cure."
